Day,Sales
Day 141,4910
Day 142,2313
Day 143,1376
Day 144,7709
Day 145,7167
Day 146,8775
Day 147,9978
Day 148,5185
Day 149,150
Day 150,8905
Day 151,9092
Day 152,9005
Day 153,622
Day 154,6170
Day 155,3958
Day 156,4296
Day 157,4926
Day 158,1198
Day 159,3195
Day 160,8918
Day 161,5853
Day 162,5861
Day 163,3967
Day 164,9195
Day 165,609
Day 166,9026
Day 167,635
Day 168,395
Day 169,787
Day 170,4202
Day 171,8603
Day 172,4644
Day 173,339
Day 174,487
Day 175,9366
Day 176,6634
Day 177,1063
Day 178,4529
Day 179,3981
Day 180,6953
Day 181,8225
Day 182,137
Day 183,192
Day 184,4643
Day 185,8279
Day 186,5041
Day 187,2954
Day 188,3761
Day 189,9582
Day 190,8689
Day 191,2053
Day 192,289
Day 193,276
Day 194,422
Day 195,4532
Day 196,7382
Day 197,9284
Day 198,8563
Day 199,5987
Day 200,3588
Day 201,8640
Day 202,1501
Day 203,3017
Day 204,6803
Day 205,2177
Day 206,207
Day 207,4148
Day 208,2171
Day 209,9503
Day 210,6571
Day 211,4422
Day 212,4628
Day 213,5068
Day 214,8389
Day 215,3944
Day 216,8517
Day 217,785
Day 218,9787
Day 219,6903
Day 220,4127
Day 221,7935
Day 222,8297
Day 223,4139
Day 224,6634
Day 225,9751
Day 226,2386
Day 227,1652
Day 228,7378
Day 229,4291
Day 230,6021
Day 231,7606
Day 232,748
Day 233,8367
Day 234,1642
Day 235,9218
Day 236,7871
Day 237,9400
Day 238,9463
Day 239,187
Day 240,2613
Day 241,8566
Day 242,2181
Day 243,5046
Day 244,2733
Day 245,8890
Day 246,2176
Day 247,5684
Day 248,8411
Day 249,1839
Day 250,4990
Day 251,8761
Day 252,8804
Day 253,6952
Day 254,1127
Day 255,2063
Day 256,1632
Day 257,994
Day 258,559
Day 259,2800
Day 260,3795
Day 261,7963
Day 262,9430
Day 263,3608
Day 264,2507
Day 265,398
Day 266,2691
Day 267,2219
Day 268,7112
Day 269,7858
Day 270,6608
Day 271,2055
Day 272,6853
Day 273,5634
Day 274,7081
Day 275,2980
Day 276,6012
Day 277,4202
Day 278,1984
Day 279,4492
Day 280,1531
Day 281,7030
Day 282,7412
Day 283,4320
Day 284,7420
Day 285,420
Day 286,9799
Day 287,2934
Day 288,4290
Day 289,6541
Day 290,4319
Day 291,7066
Day 292,913
Day 293,6401
Day 294,5532
Day 295,7745
Day 296,9064
Day 297,2505
Day 298,7545
Day 299,6612
Day 300,9316
Day 301,4344
Day 302,3766
Day 303,7524
Day 304,2835
Day 305,224
Day 306,773
Day 307,9453
Day 308,730
Day 309,168
Day 310,4147
Day 311,5733
Day 312,9857
Day 313,430
Day 314,4902
Day 315,7759
Day 316,4675
Day 317,1448
Day 318,4266
Day 319,653
Day 320,3391
Day 321,4489
Day 322,1031
Day 323,5779
Day 324,286
Day 325,7481
Day 326,2281
Day 327,7595
Day 328,9990
Day 329,6612
Day 330,5144
Day 331,3097
Day 332,4634
Day 333,6978
Day 334,6812
Day 335,3242
Day 336,8457
Day 337,8419
Day 338,3900
Day 339,4526
Day 340,6130
Day 341,5079
Day 342,3483
Day 343,6886
Day 344,9187
Day 345,447
Day 346,7511
Day 347,7599
Day 348,9524
Day 349,721
Day 350,3233
Day 351,1216
Day 352,9768
Day 353,762
Day 354,5805
Day 355,7689
Day 356,9110
Day 357,2255
Day 358,8498
Day 359,8811
Day 360,6028
Day 361,7037
Day 362,337
Day 363,4482
Day 364,3530
Day 365,5619
Day 366,2400
Day 367,9022
Day 368,2707
Day 369,3612
Day 370,7418
Day 371,850
Day 372,144
Day 373,6117
Day 374,7626
Day 375,4739
Day 376,4266
Day 377,739
Day 378,5904
Day 379,8910
Day 380,4858
Day 381,2988
Day 382,9200
Day 383,6515
Day 384,664
Day 385,1842
Day 386,6781
Day 387,6180
Day 388,6631
Day 389,6448
Day 390,6923
Day 391,7044
Day 392,9788
Day 393,7719
Day 394,2023
Day 395,2917
Day 396,3433
Day 397,4711
Day 398,9718
Day 399,9292
Day 400,3442
Day 401,3655
Day 402,8235
Day 403,9958
Day 404,2534
Day 405,8127
Day 406,1797
Day 407,9299
Day 408,1094
Day 409,9634
Day 410,6091
Day 411,9836
Day 412,4931
Day 413,7432
Day 414,3089
Day 415,7543
Day 416,5757
Day 417,8610
Day 418,9373
Day 419,5704
Day 420,1229
Day 421,3664
Day 422,7624
Day 423,8225
Day 424,5145
Day 425,4426
Day 426,9025
Day 427,6141
Day 428,1125
Day 429,8097
Day 430,4708
Day 431,4994
Day 432,3189
Day 433,913
Day 434,2603
Day 435,8650
Day 436,291
Day 437,2767
Day 438,8954
Day 439,1618
Day 440,4173
Day 441,9887
Day 442,4674
Day 443,6234
Day 444,5390
Day 445,9499
Day 446,8316
Day 447,9605
Day 448,3026
Day 449,6809
Day 450,9574
Day 451,6398
Day 452,5144
Day 453,3594
Day 454,2560
Day 455,4693
Day 456,3829
Day 457,6115
Day 458,4904
Day 459,8338
Day 460,3177
Day 461,3625
Day 462,6630
Day 463,6212
Day 464,7450
Day 465,3855
Day 466,2159
Day 467,1305
Day 468,7005
Day 469,396
Day 470,5651
Day 471,3165
Day 472,6062
Day 473,7923
Day 474,3968
Day 475,871
Day 476,3917
Day 477,7937
Day 478,5671
Day 479,9253
Day 480,6247
Day 481,4817
Day 482,7775
Day 483,2706
Day 484,120
Day 485,2448
Day 486,1107
Day 487,3624
Day 488,3362
Day 489,5209
Day 490,5753
Day 491,7440
Day 492,8048
Day 493,7913
Day 494,7022
Day 495,7373
Day 496,1455
Day 497,8057
Day 498,335
Day 499,8026
Day 500,1816
Day 501,1357
Day 502,667
Day 503,5140
Day 504,7765
Day 505,9999
Day 506,6973
Day 507,5218
Day 508,6071
Day 509,8221
Day 510,5233
Day 511,3019
Day 512,8645
Day 513,2830
Day 514,4821
Day 515,4993
Day 516,2476
Day 517,8837
Day 518,799
Day 519,2644
Day 520,1508
Day 521,2163
Day 522,1384
Day 523,2252
Day 524,4102
Day 525,6268
Day 526,9322
Day 527,2204
Day 528,5315
Day 529,608
Day 530,7263
Day 531,6060
Day 532,8609
Day 533,9939
Day 534,2540
Day 535,944
Day 536,9277
Day 537,2216
Day 538,6652
Day 539,2081
Day 540,8797
Day 541,8226
Day 542,910
Day 543,1018
Day 544,7111
Day 545,1661
Day 546,1843
Day 547,3197
Day 548,4397
Day 549,5353
Day 550,7678
Day 551,6618
Day 552,7023
Day 553,8251
Day 554,7837
Day 555,6414
Day 556,2710
Day 557,7359
Day 558,5057
Day 559,6965
Day 560,6459
Day 561,9057
Day 562,2231
Day 563,9648
Day 564,8573
Day 565,8131
Day 566,8027
Day 567,9454
Day 568,2667
Day 569,7261
Day 570,900
Day 571,6850
Day 572,8709
Day 573,3473
Day 574,1005
Day 575,8689
Day 576,906
Day 577,8203
Day 578,9141
Day 579,7957
Day 580,9977
Day 581,7324
Day 582,1496
Day 583,7655
Day 584,6134
Day 585,621
Day 586,7655
Day 587,1245
Day 588,7396
Day 589,3227
Day 590,7751
Day 591,832
Day 592,8201
Day 593,6145
Day 594,1614
Day 595,3677
Day 596,133
Day 597,357
Day 598,5059
Day 599,2511
Day 600,5885
Day 601,3494
Day 602,4215
Day 603,531
Day 604,7732
Day 605,3566
Day 606,538
Day 607,4135
Day 608,1102
Day 609,3259
Day 610,5934
Day 611,1157
Day 612,3416
Day 613,1159
Day 614,5828
Day 615,4860
Day 616,147
Day 617,3840
Day 618,2031
Day 619,9061
Day 620,7710
Day 621,5651
Day 622,1678
Day 623,9665
Day 624,372
Day 625,1600
Day 626,9848
Day 627,6374
Day 628,8944
Day 629,6190
Day 630,2479
Day 631,9528
Day 632,8177
Day 633,6348
Day 634,5067
Day 635,973
Day 636,8999
Day 637,425
Day 638,546
Day 639,8050
Day 640,2192
Day 641,5109
Day 642,9076
Day 643,662
Day 644,5996
Day 645,6874
Day 646,540
Day 647,791
Day 648,1285
Day 649,2178
Day 650,566
Day 651,2188
Day 652,4843
Day 653,4970
Day 654,3627
Day 655,3418
Day 656,1703
Day 657,7935
Day 658,4902
Day 659,7663
Day 660,509
Day 661,5852
Day 662,1555
Day 663,2712
Day 664,3576
Day 665,2192
Day 666,6587
Day 667,2516
Day 668,1621
Day 669,9862
Day 670,2451
Day 671,7932
Day 672,8228
Day 673,9908
Day 674,3494
Day 675,9214
Day 676,4319
Day 677,6043
Day 678,3375
Day 679,7064
Day 680,8403
Day 681,9619
Day 682,375
Day 683,7779
Day 684,6196
Day 685,5420
Day 686,1072
Day 687,9679
Day 688,4168
Day 689,2984
Day 690,4687
Day 691,1255
Day 692,7763
Day 693,3496
Day 694,9906
Day 695,2543
Day 696,8612
Day 697,5490
Day 698,3093
Day 699,8042
Day 700,8456
Day 701,3486
Day 702,8077
Day 703,1559
Day 704,9629
Day 705,6281
Day 706,8143
Day 707,3430
Day 708,5601
Day 709,6294
Day 710,2135
Day 711,7865
Day 712,6984
Day 713,5865
Day 714,5145
Day 715,5162
Day 716,2441
Day 717,365
Day 718,2041
Day 719,2840
Day 720,6946
Day 721,4614
Day 722,9244
Day 723,7676
Day 724,6523
Day 725,1136
Day 726,8789
Day 727,4300
Day 728,341
Day 729,5347
Day 730,506
Day 731,6163
Day 732,4105
Day 733,6142
Day 734,7533
Day 735,2647
Day 736,8513
Day 737,5572
Day 738,5532
Day 739,5626
Day 740,7171
Day 741,3493
Day 742,2346
Day 743,1978
Day 744,7319
Day 745,9837
Day 746,256
Day 747,5145
Day 748,9113
Day 749,5091
Day 750,9977
Day 751,2941
Day 752,3989
Day 753,8727
Day 754,9979
Day 755,4503
Day 756,7205
Day 757,173
Day 758,1770
Day 759,4512
Day 760,460
Day 761,6380
Day 762,7098
Day 763,7683
Day 764,2975
Day 765,596
Day 766,4668
Day 767,4478
Day 768,4385
Day 769,4122
Day 770,444
Day 771,4786
Day 772,6120
Day 773,6494
Day 774,2916
Day 775,2636
Day 776,2186
Day 777,7688
Day 778,5018
Day 779,2896
Day 780,7522
Day 781,6875
Day 782,152
Day 783,3443
Day 784,394
Day 785,3110
Day 786,8481
Day 787,3105
Day 788,7858
Day 789,8265
Day 790,3447
Day 791,1506
Day 792,6893
Day 793,5326
Day 794,8435
Day 795,1336
Day 796,5674
Day 797,599
Day 798,7969
Day 799,6011
Day 800,5211
Day 801,8368
Day 802,100
Day 803,5063
Day 804,6796
Day 805,2846
Day 806,1165
Day 807,8701
Day 808,5571
Day 809,8613
Day 810,8369
Day 811,4639
Day 812,2393
Day 813,4375
Day 814,4849
Day 815,9857
Day 816,722
Day 817,179
Day 818,644
Day 819,1830
Day 820,501
Day 821,6184
Day 822,8313
Day 823,7579
Day 824,8676
Day 825,1869
Day 826,5959
Day 827,1720
Day 828,6192
Day 829,3682
Day 830,7508
Day 831,9986
Day 832,7942
Day 833,5416
Day 834,4727
Day 835,2133
Day 836,7885
Day 837,8117
Day 838,6611
Day 839,7288
Day 840,760
Day 841,8810
Day 842,9336
Day 843,7866
Day 844,3951
Day 845,6953
Day 846,5200
Day 847,9230
Day 848,3471
Day 849,4942
Day 850,4067
Day 851,1797
Day 852,2197
Day 853,717
Day 854,5097
Day 855,3533
Day 856,6019
Day 857,6770
Day 858,2412
Day 859,9246
Day 860,2501
Day 861,2223
Day 862,4835
Day 863,1409
Day 864,9529
Day 865,9854
Day 866,2688
Day 867,9133
Day 868,774
Day 869,3590
Day 870,1133
Day 871,3692
Day 872,7332
Day 873,9187
Day 874,2341
Day 875,5577
Day 876,8969
Day 877,4801
Day 878,7162
Day 879,4659
Day 880,2383
Day 881,4773
Day 882,4961
Day 883,9622
Day 884,3563
Day 885,2619
Day 886,6344
Day 887,3896
Day 888,4148
Day 889,884
Day 890,539
Day 891,9075
Day 892,9971
Day 893,1308
Day 894,4814
Day 895,5890
Day 896,3382
Day 897,251
Day 898,6559
Day 899,4040
Day 900,1675
Day 901,854
Day 902,2333
Day 903,273
Day 904,251
Day 905,5958
Day 906,5409
Day 907,9687
Day 908,4580
Day 909,9155
Day 910,3922
Day 911,4957
Day 912,1115
Day 913,6612
Day 914,4282
Day 915,9070
Day 916,3646
Day 917,7586
Day 918,4225
Day 919,8307
Day 920,6694
Day 921,5658
Day 922,374
Day 923,5598
Day 924,4397
Day 925,1816
Day 926,2692
Day 927,1286
Day 928,7580
Day 929,3873
Day 930,8479
Day 931,5747
Day 932,6783
Day 933,2117
Day 934,3195
Day 935,6251
Day 936,1106
Day 937,3988
Day 938,4691
Day 939,1652
Day 940,5839
Day 941,3920
Day 942,5564
Day 943,6295
Day 944,6368
Day 945,5669
Day 946,4587
Day 947,7894
Day 948,6979
Day 949,8475
Day 950,301
Day 951,3431
Day 952,8719
Day 953,7854
Day 954,2289
Day 955,1871
Day 956,9293
Day 957,2317
Day 958,7228
Day 959,3663
Day 960,1927
Day 961,541
Day 962,6547
Day 963,594
Day 964,908
Day 965,827
Day 966,8521
Day 967,9779
Day 968,2579
Day 969,4435
Day 970,2259
Day 971,5904
Day 972,4444
Day 973,7259
Day 974,3791
Day 975,1036
Day 976,4569
Day 977,2818
Day 978,1000
Day 979,894
Day 980,1284
Day 981,5766
Day 982,916
Day 983,567
Day 984,7171
Day 985,3950
Day 986,5237
Day 987,9232
Day 988,9102
Day 989,5647
Day 990,8525
Day 991,9590
Day 992,2862
Day 993,1996
Day 994,4719
Day 995,3778
Day 996,9357
Day 997,7096
Day 998,6223
Day 999,2674
Day 1000,6035
Day 1001,6147
Day 1002,2233
Day 1003,805
Day 1004,3330
Day 1005,137
Day 1006,7380
Day 1007,4287
Day 1008,2049
Day 1009,7211
Day 1010,1895
Day 1011,1996
Day 1012,9051
Day 1013,6182
Day 1014,8143
Day 1015,8094
Day 1016,8605
Day 1017,6392
Day 1018,3138
Day 1019,4221
Day 1020,8208
Day 1021,6792
Day 1022,2540
Day 1023,1198
Day 1024,474
Day 1025,4274
Day 1026,5643
Day 1027,2769
Day 1028,2209
Day 1029,7282
Day 1030,6621
Day 1031,1347
Day 1032,7922
Day 1033,8069
Day 1034,793
Day 1035,360
Day 1036,3569
Day 1037,5879
Day 1038,283
Day 1039,2452
Day 1040,5708
Day 1041,8668
Day 1042,5605
Day 1043,9842
Day 1044,5074
Day 1045,2374
Day 1046,8672
Day 1047,9918
Day 1048,2951
Day 1049,1298
Day 1050,5147
Day 1051,475
Day 1052,207
Day 1053,2278
Day 1054,8760
Day 1055,8419
Day 1056,2250
Day 1057,6226
Day 1058,5368
Day 1059,8549
Day 1060,7838
Day 1061,2838
Day 1062,4548
Day 1063,8141
Day 1064,6160
Day 1065,3796
Day 1066,7267
Day 1067,3366
Day 1068,6398
Day 1069,8999
Day 1070,8822
Day 1071,661
Day 1072,6392
Day 1073,6784
Day 1074,6918
Day 1075,6859
Day 1076,5378
Day 1077,837
Day 1078,3831
Day 1079,3078
Day 1080,3669
Day 1081,8098
Day 1082,6816
Day 1083,3770
Day 1084,8310
Day 1085,9284
Day 1086,6090
Day 1087,1868
Day 1088,6477
Day 1089,2184
Day 1090,1279
Day 1091,1237
Day 1092,6360
Day 1093,9656
Day 1094,8969
Day 1095,6523
Day 1096,706
Day 1097,4714
Day 1098,7581
Day 1099,6272
Day 1100,1627
Day 1101,2439
Day 1102,8987
Day 1103,1907
Day 1104,2163
Day 1105,295
Day 1106,1714
Day 1107,2744
Day 1108,3628
Day 1109,7316
Day 1110,8688
Day 1111,911
Day 1112,8989
Day 1113,9769
Day 1114,1687
Day 1115,6466
Day 1116,8114
Day 1117,7740
Day 1118,5392
Day 1119,7892
Day 1120,9547
Day 1121,3653
Day 1122,2553
Day 1123,6305
Day 1124,7736
Day 1125,512
Day 1126,2043
Day 1127,8155
Day 1128,7016
Day 1129,5711
Day 1130,3683
Day 1131,7395
Day 1132,3572
Day 1133,1666
Day 1134,3620
Day 1135,1786
Day 1136,4351
Day 1137,4778
Day 1138,6767
Day 1139,3060
Day 1140,5405
Day 1141,2016
Day 1142,4063
Day 1143,521
Day 1144,3641
Day 1145,3281
Day 1146,4308
Day 1147,8486
Day 1148,904
Day 1149,878
Day 1150,400
Day 1151,4142
Day 1152,6244
Day 1153,5708
Day 1154,6196
Day 1155,7135
Day 1156,2080
Day 1157,2562
Day 1158,3515
Day 1159,1275
Day 1160,291
Day 1161,521
Day 1162,904
Day 1163,8594
Day 1164,5679
Day 1165,9053
Day 1166,9823
Day 1167,2324
Day 1168,2377
Day 1169,4544
Day 1170,4016
Day 1171,3129
Day 1172,4006
Day 1173,4834
Day 1174,9094
Day 1175,9959
Day 1176,8339
Day 1177,7040
Day 1178,4338
Day 1179,6883
Day 1180,2588
Day 1181,4069
Day 1182,4508
Day 1183,466
Day 1184,6880
Day 1185,5253
Day 1186,5151
Day 1187,5772
Day 1188,8064
Day 1189,3268
Day 1190,612
Day 1191,7277
Day 1192,9862
Day 1193,8837
Day 1194,4989
Day 1195,1355
Day 1196,4427
Day 1197,5840
Day 1198,2969
Day 1199,5987
Day 1200,4758
Day 1201,7089
Day 1202,3396
Day 1203,641
Day 1204,4606
Day 1205,4067
Day 1206,1784
Day 1207,9428
Day 1208,9727
Day 1209,2183
Day 1210,9886
Day 1211,9853
Day 1212,7530
Day 1213,9314
Day 1214,5540
Day 1215,4641
Day 1216,4604
Day 1217,6097
Day 1218,8805
Day 1219,8348
Day 1220,6945
Day 1221,267
Day 1222,8805
Day 1223,3892
Day 1224,7284
Day 1225,5877
Day 1226,851
Day 1227,2948
Day 1228,9361
Day 1229,1048
Day 1230,6547
Day 1231,4820
Day 1232,7116
Day 1233,9298
Day 1234,7395
Day 1235,6116
Day 1236,8267
Day 1237,4419
Day 1238,2684
Day 1239,9058
Day 1240,1895
Day 1241,838
Day 1242,7885
Day 1243,2947
Day 1244,5950
Day 1245,8221
Day 1246,6622
Day 1247,676
Day 1248,7172
Day 1249,524
Day 1250,5202
Day 1251,9293
Day 1252,5888
Day 1253,5776
Day 1254,6168
Day 1255,6020
Day 1256,8740
Day 1257,5052
Day 1258,3667
Day 1259,5505
Day 1260,6380
Day 1261,1436
Day 1262,9725
Day 1263,3505
Day 1264,1533
Day 1265,9971
Day 1266,7609
Day 1267,9147
Day 1268,2838
Day 1269,3912
Day 1270,7329
Day 1271,1190
Day 1272,4544
Day 1273,8002
Day 1274,4490
Day 1275,7429
Day 1276,4803
Day 1277,6443
Day 1278,6754
Day 1279,6733
Day 1280,1553
Day 1281,3791
Day 1282,4663
Day 1283,2950
Day 1284,6942
Day 1285,1920
Day 1286,5080
Day 1287,9813
Day 1288,6136
Day 1289,2396
Day 1290,3492
Day 1291,9937
Day 1292,5231
Day 1293,4091
Day 1294,7755
Day 1295,4951
Day 1296,4037
Day 1297,6113
Day 1298,4357
Day 1299,3781
Day 1300,6977
Day 1301,7413
Day 1302,5695
Day 1303,3186
Day 1304,7222
Day 1305,732
Day 1306,9668
Day 1307,9796
Day 1308,2029
Day 1309,2579
Day 1310,1721
Day 1311,4571
Day 1312,5265
Day 1313,1449
Day 1314,1609
Day 1315,7720
Day 1316,2811
Day 1317,3892
Day 1318,809
Day 1319,3718
Day 1320,8498
Day 1321,6004
Day 1322,9286
Day 1323,7861
Day 1324,5349
Day 1325,966
Day 1326,1705
Day 1327,1633
Day 1328,3091
Day 1329,7369
Day 1330,2758
Day 1331,4435
Day 1332,6830
Day 1333,7920
Day 1334,1957
Day 1335,505
Day 1336,9320
Day 1337,2186
Day 1338,5541
Day 1339,7074
Day 1340,8765
Day 1341,147
Day 1342,9516
Day 1343,9628
Day 1344,4092
Day 1345,8046
Day 1346,8080
Day 1347,1031
Day 1348,9552
Day 1349,7901
Day 1350,1430
Day 1351,5475
Day 1352,3923
Day 1353,3775
Day 1354,6515
Day 1355,3012
Day 1356,1725
Day 1357,7479
Day 1358,5683
Day 1359,9666
Day 1360,2804
Day 1361,2755
Day 1362,4753
Day 1363,8623
Day 1364,4977
Day 1365,6609
Day 1366,1294
Day 1367,462
Day 1368,9577
Day 1369,3758
Day 1370,1442
Day 1371,1099
Day 1372,9860
Day 1373,5610
Day 1374,2102
Day 1375,8991
Day 1376,6559
Day 1377,7864
Day 1378,6666
Day 1379,5309
Day 1380,8689
Day 1381,7019
Day 1382,1465
Day 1383,2110
Day 1384,169
Day 1385,6697
Day 1386,9447
Day 1387,8382
Day 1388,8203
Day 1389,2762
Day 1390,7499
Day 1391,6562
Day 1392,6534
Day 1393,7414
Day 1394,2348
Day 1395,7393
Day 1396,7900
Day 1397,6692
Day 1398,8982
Day 1399,865
Day 1400,6116
Day 1401,8361
Day 1402,1954
Day 1403,8773
Day 1404,379
Day 1405,6503
Day 1406,1264
Day 1407,9255
Day 1408,4383
Day 1409,9740
Day 1410,6481
Day 1411,2247
Day 1412,2895
Day 1413,2912
Day 1414,5526
Day 1415,2305
Day 1416,9659
Day 1417,3737
Day 1418,8100
Day 1419,8286
Day 1420,9495
Day 1421,5921
Day 1422,9404
Day 1423,6808
Day 1424,7304
Day 1425,6112
Day 1426,6566
Day 1427,4238
Day 1428,5743
Day 1429,3690
Day 1430,178
Day 1431,2798
Day 1432,995
Day 1433,5233
Day 1434,3714
Day 1435,2095
Day 1436,183
Day 1437,8350
Day 1438,9161
Day 1439,8515
Day 1440,1515
Day 1441,3905
Day 1442,8881
Day 1443,5954
Day 1444,8376
Day 1445,8726
Day 1446,6165
Day 1447,9911
Day 1448,1885
Day 1449,7433
Day 1450,3522
Day 1451,1256
Day 1452,7170
Day 1453,6801
Day 1454,2855
Day 1455,5721
Day 1456,4340
Day 1457,3014
Day 1458,7784
Day 1459,314
Day 1460,8447
Day 1461,9416
Day 1462,9681
Day 1463,4428
Day 1464,5906
Day 1465,4784
Day 1466,7844
Day 1467,5246
Day 1468,7427
Day 1469,7901
Day 1470,6733
Day 1471,111
Day 1472,5533
Day 1473,3056
Day 1474,8577
Day 1475,7065
Day 1476,3229
Day 1477,1818
Day 1478,5673
Day 1479,7776
Day 1480,8966
Day 1481,2534
Day 1482,8659
Day 1483,8638
Day 1484,1830
Day 1485,1860
Day 1486,8744
Day 1487,5868
Day 1488,2405
Day 1489,262
Day 1490,1476
Day 1491,4813
Day 1492,2935
Day 1493,389
Day 1494,7171
Day 1495,9545
Day 1496,5576
Day 1497,3261
Day 1498,2335
Day 1499,770
Day 1500,1325
Day 1501,526
Day 1502,8858
Day 1503,5913
Day 1504,4748
Day 1505,2741
Day 1506,3976
Day 1507,8038
Day 1508,8813
Day 1509,6827
Day 1510,9332
Day 1511,8477
Day 1512,8217
Day 1513,6099
Day 1514,6217
Day 1515,4237
Day 1516,2897
Day 1517,4052
Day 1518,4466
Day 1519,4623
Day 1520,8581
Day 1521,697
Day 1522,2129
Day 1523,3785
Day 1524,4167
Day 1525,9386
Day 1526,2745
Day 1527,4772
Day 1528,7773
Day 1529,503
Day 1530,9449
Day 1531,4789
Day 1532,2295
Day 1533,6154
Day 1534,3944
Day 1535,1003
Day 1536,9325
Day 1537,9493
Day 1538,3909
Day 1539,4114
Day 1540,8952
Day 1541,1613
Day 1542,8071
Day 1543,703
Day 1544,8132
Day 1545,8862
Day 1546,5461
Day 1547,9885
Day 1548,2481
Day 1549,1868
Day 1550,1643
Day 1551,8654
Day 1552,4533
Day 1553,8409
Day 1554,5424
Day 1555,2458
Day 1556,7373
Day 1557,9613
Day 1558,3494
Day 1559,3976
Day 1560,807
Day 1561,1615
Day 1562,8605
Day 1563,2484
Day 1564,1336
Day 1565,2907
Day 1566,8607
Day 1567,3058
Day 1568,1526
Day 1569,1893
Day 1570,2529
Day 1571,6631
Day 1572,4616
Day 1573,8373
Day 1574,2865
Day 1575,6807
Day 1576,6347
Day 1577,5165
Day 1578,1052
Day 1579,722
Day 1580,6546
Day 1581,3090
Day 1582,3236
Day 1583,3357
Day 1584,6445
Day 1585,1349
Day 1586,7668
Day 1587,8241
Day 1588,8694
Day 1589,2965
Day 1590,1064
Day 1591,4367
Day 1592,9822
Day 1593,8420
Day 1594,9762
Day 1595,443
Day 1596,2744
Day 1597,176
Day 1598,6328
Day 1599,3384
Day 1600,6579
Day 1601,7323
Day 1602,4717
Day 1603,676
Day 1604,703
Day 1605,2111
Day 1606,9455
Day 1607,8064
Day 1608,2147
Day 1609,1176
Day 1610,166
Day 1611,768
Day 1612,6070
Day 1613,9199
Day 1614,9553
Day 1615,8498
Day 1616,8389
Day 1617,4918
Day 1618,202
Day 1619,3359
Day 1620,8727
Day 1621,4377
Day 1622,2916
Day 1623,1216
Day 1624,477
Day 1625,5568
Day 1626,6441
Day 1627,543
Day 1628,8030
Day 1629,2147
Day 1630,1459
Day 1631,6239
Day 1632,2148
Day 1633,4198
Day 1634,7610
Day 1635,8191
Day 1636,9419
Day 1637,4938
Day 1638,5357
Day 1639,5217
Day 1640,8799
Day 1641,8795
Day 1642,5603
Day 1643,4821
Day 1644,2754
Day 1645,5740
Day 1646,884
Day 1647,9510
Day 1648,7376
Day 1649,4027
Day 1650,6960
Day 1651,9159
Day 1652,8268
Day 1653,4973
Day 1654,2403
Day 1655,1049
Day 1656,6989
Day 1657,1449
Day 1658,166
Day 1659,257
Day 1660,7797
Day 1661,3579
Day 1662,7552
Day 1663,885
Day 1664,4250
Day 1665,5995
Day 1666,1263
Day 1667,9110
Day 1668,3673
Day 1669,3898
Day 1670,341
Day 1671,8936
Day 1672,4543
Day 1673,3972
Day 1674,3102
Day 1675,2409
Day 1676,4666
Day 1677,7864
Day 1678,4783
Day 1679,6221
Day 1680,3386
Day 1681,3909
Day 1682,7391
Day 1683,682
Day 1684,9790
Day 1685,3778
